binomial,latitude,area,order,family,ebird_name,treelabels,clumin,clumax,bodmin,bodmax,is,migratory,mode,land,clu_geom,mass_geom
Merops superciliosus,-8.883147155526293,4261297352234.56,Coraciiformes,Meropidae,Merops_superciliosus,Merops_superciliosus,4,6,40,48,N,NA,altricial,land,4.898979485566356,43.81780460041329
Merops variegatus,-3.0083245275853874,3488250099944.4,Coraciiformes,Meropidae,Merops_variegatus,Merops_variegatus,2,3,19.5,28.4,N,NA,altricial,land,2.449489742783178,23.532955615476777
Merops viridis,11.792723780630917,3165353821620.79,Coraciiformes,Meropidae,Merops_viridis,Merops_viridis,3,6,34,41,N,migratory,altricial,land,4.242640687119285,37.33630940518894
Mesitornis unicolor,-18.086288932681875,37144306623.5558,Mesitornithiformes,Mesitornithidae,Mesitornis_unicolor,Mesitornis_unicolor,1,1,148,148,Y,NA,precocial,land,1,147.99999999999994
Mesitornis variegatus,-18.07972165409657,39486296001.0768,Mesitornithiformes,Mesitornithidae,Mesitornis_variegatus,Mesitornis_variegatus,2,2,103,111,Y,NA,precocial,land,2,106.92520750505929
Metallura aeneocauda,-14.910127965547746,49696480109.6581,Caprimulgiformes,Trochilidae,Metallura_aeneocauda,Metallura_aeneocauda,2,2,5.2,5.4,N,NA,altricial,land,2,5.299056519796709
Metallura baroni,-2.876615286429356,2725465818.02873,Caprimulgiformes,Trochilidae,Metallura_baroni,Metallura_baroni,2,2,3.9,5,N,NA,altricial,land,2,4.415880433163923
Metallura eupogon,-11.585429237214212,35465528858.9159,Caprimulgiformes,Trochilidae,Metallura_eupogon,Metallura_eupogon,2,2,5,5,N,NA,altricial,land,2,4.999999999999999
Metallura phoebe,-12.591071439547372,142044517651.589,Caprimulgiformes,Trochilidae,Metallura_phoebe,Metallura_phoebe,2,2,5.6,5.8,N,NA,altricial,land,2,5.699122739510002
Metallura tyrianthina,-5.150000326539517,422570992969.393,Caprimulgiformes,Trochilidae,Metallura_tyrianthina,Metallura_tyrianthina,2,2,2.7,5.1,N,NA,altricial,land,2,3.7107950630558943
Metallura williami,0.03512300698298253,51630478200.086,Caprimulgiformes,Trochilidae,Metallura_williami,Metallura_williami,2,2,4.1,5.3,N,NA,altricial,land,2,4.661544808322666
Metopidius indicus,19.346900823030705,2627583835359.79,Charadriiformes,Jacanidae,Metopidius_indicus,Metopidius_indicus,3,4,147,354,N,NA,precocial,land,3.464101615137755,228.11839031520458
Metriopelia melanoptera,-29.080827821392727,1825383704351.46,Columbiformes,Columbidae,Metriopelia_melanoptera,Metriopelia_melanoptera,2,2,86,114,N,migratory,altricial,land,2,99.01515035589246
Micrastur semitorquatus,-6.941607132039538,13159690448138.5,Falconiformes,Falconidae,Micrastur_semitorquatus,Micrastur_semitorquatus,2,3,479,940,N,NA,altricial,land,2.449489742783178,671.0141578238122
Micrathene whitneyi,30.043064409232212,640533889149.799,Strigiformes,Strigidae,Micrathene_whitneyi,Micrathene_whitneyi,1,5,35,55,N,migratory,altricial,land,2.23606797749979,43.87482193696062
Microbates cinereiventris,-0.5458716991397645,548738875770.103,Passeriformes,Polioptylidae,Microbates_cinereiventris,Microbates_cinereiventris,2,2,10,14,N,NA,altricial,land,2,11.832159566199229
